rank,name
1,恒大集团
2,碧桂园控股有限公司
3,万科企业股份有限公司
4,保利房地产（集团）股份有限公司
5,融创中国控股有限公司
6,中国海外发展有限公司
7,绿地控股集团股份有限公司
8,绿城中国控股有限公司
9,华夏幸福基业股份有限公司
10,华润置地有限公司
11,龙湖地产有限公司
12,金地（集团）股份有限公司
13,新城控股集团股份有限公司
14,世茂房地产控股有限公司
15,旭辉集团股份有限公司
16,荣盛房地产发展股份有限公司
17,金科地产集团股份有限公司
18,中南置地
19,正荣集团
20,阳光城集团股份有限公司
21,雅居乐集团控股有限公司
22,四川蓝光发展股份有限公司
23,泰禾集团股份有限公司
24,中国金茂控股集团有限公司
25,杭州滨江房产集团股份有限公司
26,龙光地产控股有限公司
27,奥园集团有限公司
28,融信（福建）投资集团有限公司
29,中梁地产集团
30,佳兆业集团控股有限公司
31,卓越置业集团有限公司
32,天津房地产集团有限公司
33,广州市时代控股集团有限公司
34,海伦堡地产集团有限公司
35,祥生地产集团
36,广州市敏捷投资有限公司
37,红星地产
38,金辉集团股份有限公司
39,福晟集团有限公司
40,中冶置业集团有限公司
41,花样年集团（中国）有限公司
42,美的置业集团有限公司
43,隆基泰和置业有限公司
44,中粮置地
45,宝龙地产控股有限公司
46,新力地产有限公司
47,新鸥鹏集团
48,苏宁置业集团有限公司
49,联发集团有限公司
50,俊发集团有限公司
51,景瑞地产（集团）有限公司
52,武汉地产开发投资集团有限公司
53,光明房地产集团股份有限公司
54,上海三盛宏业投资（集团）有限责任公司
55,仁恒置地集团有限公司
56,中国葛洲坝集团房地产开发有限公司
57,星河控股集团有限公司
58,北京北辰实业股份有限公司
59,广州市方圆房地产发展有限公司
60,颐和地产集团有限公司
61,东方银座集团中国有限公司
62,当代置业（中国）有限公司
63,德信地产集团有限公司
64,北大资源集团
65,上海建工房产有限公司
66,上海实业城市开发集团有限公司
67,银亿股份有限公司
68,鸿坤伟业
69,三盛集团
70,保集控股集团有限公司
71,上海爱家集团
72,美好置业集团股份有限公司
73,华鸿嘉信地产集团
74,重庆德杰地产集团
75,百步亭集团有限公司
76,中交地产
77,杭州市城建开发集团有限公司（大家房产）
78,桂林彰泰实业集团有限公司
79,上海城建置业发展有限公司
80,天朗控股集团
81,中惠熙元房地产集团有限公司
82,长沙房产（集团）有限公司
83,领地集团股份有限公司
84,中锐地产集团
85,重庆泽京房地产开发有限公司
86,深圳市中洲投资控股股份有限公司
87,奥山置业有限公司
88,中迪禾邦集团有限公司
89,庭瑞集团有限公司
90,金侨投资控股有限公司
91,四川蓝润实业集团有限公司
92,云星集团
93,银城地产集团股份有限公司
94,纽宾凯集团有限公司
95,正黄集团有限公司
96,云南实力房地产开发经营集团有限公司
97,众安房产有限公司
98,上海大发房地产集团有限公司
99,宋都基业投资股份有限公司
100,财信国兴地产
